순위,역코드,역명,인원(명/일)
1,239,홍대입구,48266
2,222,강남,41599
3,150,서울역(1),36475
4,152,종각,35504
5,216,잠실(2),31266
6,234,신도림,31102
7,329,고속터미널(3),31038
8,232,구로디지털단지,29125
9,230,신림,28827
10,332,양재,28417
11,420,혜화,27818
12,219,삼성,26498
13,424,명동,26326
14,331,남부터미널,24940
15,327,신사,24886
16,221,역삼,24848
17,240,신촌,24774
18,202,을지로입구,24509
19,326,압구정,23813
20,154,종로5가,21699
21,2748,가산디지털단지(7),21508
22,425,회현,20937
23,228,서울대입구,20872
24,220,선릉,20137
25,151,시청(1),19902
26,311,연신내(3),19657
27,414,수유,19456
28,153,종로3가(1),19409
29,2534,광화문,18736
30,158,청량리,18563
31,211,성수,17319
32,432,이수(총신대입구),17316
33,412,창동,17257
34,238,합정(2),16977
35,214,강변,16784
36,226,사당(2),16709
37,212,건대입구(2),16395
38,423,충무로(4),16299
39,2519,까치산(5),16232
40,318,안국,16148
41,317,경복궁,15586
42,157,제기동,15545
43,4129,봉은사,15268
44,413,쌍문,15132
45,223,교대(2),14920
46,416,미아사거리,14468
47,2819,문정,13818
48,433,사당(4),13657
49,2522,오목교,13583
50,2749,철산,13481
51,421,동대문(4),13371
52,2518,화곡,13301
53,2631,이태원,13137
54,426,서울역(4),12946
55,2750,광명사거리,12859
56,2527,여의도(5),12543
57,231,신대방,12262
58,310,구파발,12256
59,227,낙성대,12151
60,201,시청(2),12141
61,417,길음,12076
62,2820,장지,12011
63,418,성신여대입구,11995
64,2544,장한평,11883
65,233,대림(2),11431
66,2811,암사,11082
67,2549,강동,11076
68,203,을지로3가(2),10953
69,241,이대,10848
70,2611,응암,10746
71,210,뚝섬,10691
72,2733,학동,10600
73,235,문래,10523
74,2521,목동,10438
75,155,동대문(1),10328
76,2812,천호(8),10306
77,2533,서대문,10203
78,314,홍제,10174
79,2717,하계,10049
80,429,신용산,9985
81,224,서초,9930
82,312,불광(3),9925
83,156,신설동(1),9913
84,237,당산,9755
85,2640,안암,9754
86,217,잠실새내,9690
87,236,영등포구청(2),9515
88,322,동대입구,9460
89,213,구의,9458
90,2548,천호(5),9438
91,339,수서,9408
92,419,한성대입구,9380
93,229,봉천,9288
94,427,숙대입구,9263
95,2622,망원,9118
96,2645,석계(6),9057
97,2731,청담,9042
98,410,상계,9037
99,2543,답십리,8979
100,2728,어린이대공원,8831
101,2529,마포,8756
102,2723,면목,8618
103,2715,노원(7),8601
104,411,노원(4),8597
105,2627,공덕(6),8577
106,2823,남한산성입구,8427
107,2516,발산,8348
108,2619,디지털미디어시티(6),8326
109,319,종로3가(3),8238
110,2642,월곡,8230
111,2724,사가정,8218
112,2716,중계,8205
113,2546,아차산,8128
114,2722,상봉(7),8042
115,2528,여의나루,7983
116,415,미아,7952
117,2617,새절,7906
118,225,방배,7887
119,2815,잠실(8),7760
120,159,동묘앞(1),7680
121,2734,논현,7676
122,2821,복정(8),7655
123,2738,이수(7),7603
124,4127,선정릉,7564
125,2747,남구로,7503
126,333,매봉,7451
127,2624,상수,7451
128,4126,언주,7350
129,2621,마포구청,7307
130,2756,신중동,7226
131,2713,수락산,7190
132,2530,공덕(5),7157
133,2740,숭실대입구,7117
134,2758,상동,7100
135,2517,우장산,7095
136,2813,강동구청,7075
137,209,한양대,7075
138,2718,공릉,7070
139,430,이촌,6986
140,215,잠실나루,6956
141,218,종합운동장(2),6938
142,207,상왕십리,6928
143,2647,화랑대,6914
144,2736,고속터미널(7),6888
145,206,신당(2),6867
146,323,약수(3),6866
147,2743,신대방삼거리,6848
148,208,왕십리(2),6833
149,422,동대문역사문화공원(4),6595
150,335,대치,6570
151,2554,상일동,6558
152,2535,종로3가(5),6555
153,2547,광나루,6542
154,2824,단대오거리,6504
155,2737,내방,6372
156,313,녹번,6334
157,2714,마들,6320
158,205,동대문역사문화공원(2),6279
159,2648,봉화산,6261
160,2641,고려대,6242
161,2757,부천시청,6217
162,4136,올림픽공원(9),6149
163,2618,증산,6034
164,2729,건대입구(7),6034
165,2732,강남구청,6032
166,2632,한강진,5972
167,338,일원,5928
168,2816,석촌(8),5872
169,2637,동묘앞(6),5859
170,249,신정네거리,5816
171,325,옥수,5767
172,2817,송파,5730
173,2726,중곡,5495
174,2739,남성,5487
175,4138,중앙보훈병원,5410
176,2712,도봉산(7),5375
177,330,교대(3),5350
178,2721,중화,5334
179,2720,먹골,5310
180,2644,돌곶이,5287
181,2626,대흥,5249
182,2555,둔촌동,5200
183,2545,군자(5),5198
184,2551,굽은다리,5190
185,2553,고덕,5079
186,337,대청,5024
187,341,경찰병원,4997
188,4128,삼성중앙,4902
189,2741,상도,4865
190,204,을지로4가(2),4862
191,2520,신정,4846
192,409,당고개,4833
193,2745,신풍,4830
194,2552,명일,4785
195,2730,뚝섬유원지,4745
196,320,을지로3가(3),4731
197,316,독립문,4642
198,243,충정로(2),4640
199,2818,가락시장(8),4637
200,2625,광흥창,4579
201,242,아현,4546
202,2727,군자(7),4471
203,2550,길동,4467
204,340,가락시장(3),4462
205,2760,굴포천,4433
206,2742,장승배기,4352
207,2540,행당,4327
208,2525,영등포시장,4276
209,324,금호,4266
210,248,양천구청,4242
211,2643,상월곡,4213
212,2636,신당(6),4151
213,2620,월드컵경기장,4116
214,2814,몽촌토성,4091
215,2531,애오개,4089
216,4133,석촌(9),4045
217,2744,보라매,4042
218,2623,합정(6),3992
219,2746,대림(7),3981
220,2557,방이,3978
221,2630,녹사평,3966
222,2560,거여,3938
223,4131,삼전,3921
224,2751,천왕,3885
225,2639,보문,3847
226,2539,신금호,3829
227,2628,효창공원앞,3759
228,2755,춘의,3741
229,2559,개롱,3606
230,2616,구산,3565
231,4132,석촌고분,3565
232,4130,종합운동장(9),3559
233,328,잠원,3466
234,2719,태릉입구(7),3443
235,2646,태릉입구(6),3401
236,2822,산성,3352
237,2725,용마산,3352
238,2511,방화,3318
239,334,도곡,3288
240,2523,양평(5),3197
241,2514,송정,3139
242,2561,마천,3107
243,2542,마장,3095
244,2825,신흥,2953
245,428,삼각지(4),2952
246,2826,수진,2919
247,4134,송파나루,2850
248,2761,부평구청(7),2839
249,2752,온수(7),2826
250,2753,까치울,2724
251,342,오금(3),2715
252,2512,개화산,2713
253,2556,올림픽공원(5),2613
254,2515,마곡,2600
255,2612,역촌,2565
256,2759,삼산체육관,2431
257,2735,반포,2281
258,315,무악재,2230
259,246,신설동(2),2194
260,2513,김포공항(5),2103
261,2629,삼각지(6),2069
262,2634,약수(6),2047
263,2638,창신,2014
264,2613,불광(6),2010
265,2532,충정로(5),1982
266,431,동작,1838
267,2635,청구(6),1752
268,2614,독바위,1748
269,2754,부천종합운동장,1729
270,336,학여울,1717
271,2538,청구(5),1620
272,2526,신길(5),1459
273,2633,버티고개,1452
274,2536,을지로4가(5),1378
275,4135,한성백제,1325
276,2558,오금(5),1273
277,2537,동대문역사문화공원(5),1262
278,2541,왕십리(5),1236
279,244,용답,922
280,309,지축,864
281,434,남태령,857
282,250,용두,845
283,247,도림천,760
284,2827,모란(8),749
285,2524,영등포구청(5),717
286,4137,둔촌오륜,565
287,2711,장암,481
288,245,신답,388
